FREQUENT ITEMSET =====>  OCCORRENZE
('limit!', 'words')  ========>  14
('u.', '♥♥♥♥how')  ========>  13
(':)', 'love')  ========>  12
('me?', '😭')  ========>  35
('humidity', '°c.')  ========>  8
('retweet', 'world')  ========>  28
('girls', 'la):')  ========>  18
('in.', 'wind')  ========>  7
('idol', 'stealing')  ========>  19
('limit!', 'love')  ========>  14
('fitur', 'nelsoncarvalheiro')  ========>  28
('me?', '♥♥♥♥how')  ========>  13
('love', 'you!xx')  ========>  8
('@matthunter123', 'love')  ========>  14
('10', 'feeling:')  ========>  14
('@madisonellebeer', 'quote')  ========>  17
('follow', '♥♥♥♥how')  ========>  13
10  ========>  32
rt  ========>  23
('back', 'follow')  ========>  7
('feeling:', 'letters')  ========>  14
('#viña2015', 'la')  ========>  18
('@justinbieber', 'u.')  ========>  13
('add', 'life')  ========>  7
('life', 'me♥')  ========>  9
('mph', 'today')  ========>  12
('estar', 'la):')  ========>  18
('days', 'make')  ========>  8
('follow', 'idol')  ========>  10
('days', 'relentlessly')  ========>  8
('idol', 'ta')  ========>  19
('humbly', 'idol')  ========>  19
//  ========>  7
de  ========>  9
('#getgarytonoonooswedding', 'tweeted')  ========>  8
('"2', 'matt')  ========>  14
('(la', 'en')  ========>  18
('humidity', 'mm.')  ========>  10
('(la', 'la')  ========>  18
al  ========>  8
('fitur', 'travelblogger')  ========>  28
('love', '❤️')  ========>  15
('me?', 'person')  ========>  13
('follow', '😭')  ========>  35
('barometer', 'temperature')  ========>  16
('@justinbieber', 'away?')  ========>  13
('snapdeal.', 'upto15%on')  ========>  14
('follow', 'me,')  ========>  8
(',realize', 'mad')  ========>  8
('@madisonellebeer', 'love')  ========>  14
('fitur', 'vote')  ========>  28
('#viña2015', 'estar')  ========>  18
('estar', '👉abraham')  ========>  18
('mateo', 'merese')  ========>  18
('rain', 'today')  ========>  19
('book', 'check')  ========>  8
('feeling:', 'limit!')  ========>  14
('hunter".', 'love')  ========>  14
('latin', 'screams')  ========>  8
('rain', 'rising')  ========>  8
('amazon,8%', 'snapdeal.')  ========>  14
('dream', '🙏🙏')  ========>  14
('#job', '#tweetmyjobs')  ========>  21
('(la', 'merese')  ========>  18
('en', 'mateo')  ========>  18
('fitur', 'world')  ========>  28
('hunter".', 'limit!')  ========>  14
('life', 'love')  ========>  12
im  ========>  49
('lifes', '💪')  ========>  13
('letters', 'words')  ========>  14
('retweet', 'vote')  ========>  28
('mph', 'rain')  ========>  13
('follow', 'me♥')  ========>  9
('amazon,8%', 'flipkart,12%on')  ========>  14
('follow', '▶')  ========>  13
('happy', 'song!')  ========>  25
bc  ========>  15
('en', 'merese')  ========>  18
('(la', 'http://t.co/8tttpri3ag')  ========>  18
||  ========>  7
('dream', 'realize')  ========>  24
('2015', 'retweet')  ========>  28
('saved', '💪')  ========>  13
('hate', 'love')  ========>  7
('person', 'u.')  ========>  13
('make', 'relentlessly')  ========>  8
('mm.', '°c.')  ========>  8
('"2', 'feeling:')  ========>  14
('love', 'person')  ========>  14
('me?', 'u.')  ========>  13
('"2', 'hunter".')  ========>  14
('fan', '😊')  ========>  9
('heavy**', 'indian')  ========>  12
(':)', 'me♥')  ========>  9
('#viña2015', 'merese')  ========>  18
('away?', '♥♥♥♥how')  ========>  13
('@feriafitur', 'retweet')  ========>  28
aw  ========>  9
mi  ========>  12
ny  ========>  8
('big', 'dream')  ========>  13
('follow', 'queen')  ========>  9
('knowing?', 'miles')  ========>  13
('fantastically', 'hope', 'well!')  ========>  8
('"2', 'hunter".', 'matt')  ========>  14
('!!', '"2', 'limit!')  ========>  14
('!!', '"2', '@matthunter123')  ========>  14
('!!', 'love', 'words')  ========>  14
('heavy**', 'indian', 'review')  ========>  12
('love', 'miles', '♥♥♥♥how')  ========>  13
mm.  ========>  11
('!!', 'feeling:', 'matt')  ========>  14
('@justinbieber', 'love', 'miles')  ========>  13
('"2', 'limit!', 'words')  ========>  14
('hunter".', 'letters', 'words')  ========>  14
('life', 'love', 'queen')  ========>  9
due  ========>  8
('dreams,', 'https://t.co/1bds2lfusd', 'yourself!')  ========>  25
('@justinbieber', 'knowing?', 'u.')  ========>  13
('10', 'hunter".', 'letters')  ========>  14
('@garybarlow', 'days', 'harassed')  ========>  8
fun  ========>  12
('hpa,', 'rain', 'temperature')  ========>  7
('follow', 'love', 'miles')  ========>  13
('2015', 'nelsoncarvalheiro', 'retweet')  ========>  28
('"2', 'letters', 'limit!')  ========>  14
('humbly', 'stealing', 'ta')  ========>  19
('follow', 'love', 'me?')  ========>  17
('away?', 'follow', 'miles')  ========>  13
('#3', 'days', 'make')  ========>  8
('!!', '10', 'matt')  ========>  14
del  ========>  9
('know,', 'u.', '♥♥♥♥how')  ========>  13
('10', 'letters', 'matt')  ========>  14
('humidity', 'mm.', 'rain')  ========>  9
('2015', 'retweet', 'world')  ========>  28
('away?', 'know,', 'person')  ========>  13
('@justinbieber', 'love', 'u.')  ========>  13
('away?', 'miles', 'person')  ========>  13
('nelsoncarvalheiro', 'retweet', 'travelblogger')  ========>  28
('@matthunter123', 'hunter".', 'words')  ========>  14
('#getgarytonoonooswedding', 'relentlessly', 'tweeted')  ========>  8
('humidity', 'mm.', '°c.')  ========>  8
('follow', 'know,', 'u.')  ========>  13
lie  ========>  8
('follow', 'happy', 'year,')  ========>  25
('@feriafitur', 'nelsoncarvalheiro', 'retweet')  ========>  28
met  ========>  7
('la', 'mateo', 'merese')  ========>  18
('retweet', 'travelblogger', 'vote')  ========>  28
('cashback', 'flat', 'jabong,12.5%on')  ========>  14
('humidity', 'wind', '°c.')  ========>  8
('fitur', 'retweet', 'world')  ========>  28
('en', 'estar', 'la):')  ========>  18
('mm.', 'today', 'wind')  ========>  10
('barometer', 'mph', 'rain')  ========>  10
(':)', 'follow', 'life')  ========>  9
('humidity', 'mph', 'temperature')  ========>  10
('follow', 'knowing?', 'u.')  ========>  13
('girls', 'mateo', 'merese')  ========>  18
('barometer', 'temperature', '°c.')  ========>  8
('harassed', 'relentlessly', 'tweeted')  ========>  8
('!!', 'limit!', 'words')  ========>  14
('2015', 'fitur', 'world')  ========>  28
('@justinbieber', 'knowing?', 'miles')  ========>  13
('idol', 'me♥', 'queen')  ========>  9
('girls', 'mateo', '👉abraham')  ========>  18
('idol', 'notice', 'stealing')  ========>  19
('limit!', 'love', 'words')  ========>  14
('!!', '@matthunter123', 'feeling:')  ========>  14
('barometer', 'humidity', 'mm.')  ========>  10
('#3', '#getgarytonoonooswedding', 'relentlessly')  ========>  8
('know,', 'me?', 'u.')  ========>  13
('hunter".', 'limit!', 'matt')  ========>  14
('en', 'mateo', '👉abraham')  ========>  18
cry  ========>  7
('"2', 'hunter".', 'limit!')  ========>  14
('#viña2015', 'girls', '👉abraham')  ========>  18
('"2', 'feeling:', 'limit!')  ========>  14
('humbly', 'killing', 'ta')  ========>  19
('@real_liam_payne', 'idol', 'killing')  ========>  19
('knowing?', 'love', 'person')  ========>  13
('barometer', 'today', '°c.')  ========>  8
me,  ========>  16
('mm.', 'rain', 'today')  ========>  9
('#job', '#jobs', '#tweetmyjobs')  ========>  21
('heavy**', 'review', 'vendor')  ========>  12
('hunter".', 'matt', 'words')  ========>  14
('"2', '@matthunter123', 'hunter".')  ========>  14
ima  ========>  7
('idol', 'love', 'queen')  ========>  9
(':)', 'follow', 'me♥')  ========>  9
('@justinbieber', 'away?', 'follow')  ========>  13
('10', 'feeling:', 'love')  ========>  14
('@madisonellebeer', 'idol', 'me♥')  ========>  9
('10', '@matthunter123', 'limit!')  ========>  14
('know,', 'knowing?', '♥♥♥♥how')  ========>  13
('#viña2015', 'en', 'la')  ========>  18
('!!', '"2', '10')  ========>  14
('away?', 'me?', '♥♥♥♥how')  ========>  13
('(la', 'estar', '👉abraham')  ========>  18
(':)', 'follow', 'love')  ========>  9
('!!', '"2', 'hunter".')  ========>  14
('@justinbieber', 'miles', 'person')  ========>  13
('@justinbieber', 'know,', 'me?')  ========>  13
('la', 'mateo', '👉abraham')  ========>  18
('hunter".', 'letters', 'love')  ========>  14
('#getgarytonoonooswedding', 'harassed', 'tweeted')  ========>  8
('girls', 'la):', 'merese')  ========>  18
('follow', 'happy', 'https://t.co/1bds2lfusd')  ========>  25
('en', 'girls', 'http://t.co/8tttpri3ag')  ========>  18
('en', 'mateo', 'merese')  ========>  18
('10', 'hunter".', 'words')  ========>  14
('happy', 'https://t.co/1bds2lfusd', 'song!')  ========>  25
('"2', '10', '@matthunter123')  ========>  14
('follow', 'https://t.co/1bds2lfusd', 'yourself!')  ========>  25
put  ========>  18
('2015', 'fitur', 'nelsoncarvalheiro')  ========>  28
('#viña2015', 'en', 'la):')  ========>  18
('en', 'estar', 'girls')  ========>  18
('barometer', 'humidity', 'today')  ========>  17
('@madisonellebeer', 'love', 'queen')  ========>  9
('(la', 'mateo', '👉abraham')  ========>  18
('mph', 'rain', 'temperature')  ========>  11
...  ========>  11
('away?', 'me?', 'u.')  ========>  13
('(la', 'en', 'girls')  ========>  18
('barometer', 'humidity', 'wind')  ========>  17
('feeling:', 'limit!', 'matt')  ========>  14
('girls', 'la', 'mateo')  ========>  18
('love', 'me?', 'miles')  ========>  13
('knowing?', 'love', 'me?')  ========>  13
('10', 'feeling:', 'hunter".')  ========>  14
('2015', 'retweet', 'travelblogger')  ========>  28
('@justinbieber', 'away?', 'love')  ========>  13
('away?', 'me?', 'person')  ========>  13
('dreams,', 'happy', 'year,')  ========>  25
('follow', 'u.', '♥♥♥♥how')  ========>  13
('#3', '#getgarytonoonooswedding', '@garybarlow')  ========>  8
('away?', 'follow', 'person')  ========>  13
('(la', 'en', 'merese')  ========>  18
('@matthunter123', 'feeling:', 'love')  ========>  14
('happy', 'https://t.co/1bds2lfusd', 'year,')  ========>  25
('knowing?', 'person', '♥♥♥♥how')  ========>  13
('@matthunter123', 'feeling:', 'hunter".')  ========>  14
('#viña2015', '(la', 'estar')  ========>  18
('humidity', 'today', '°c.')  ========>  8
('"2', '@matthunter123', 'limit!')  ========>  14
('#3', '#getgarytonoonooswedding', 'days')  ========>  8
('follow', 'love', 'u.')  ========>  13
('@feriafitur', 'fitur', 'travelblogger')  ========>  28
('barometer', 'mph', 'temperature')  ========>  10
('10', 'feeling:', 'words')  ========>  14
('dreams,', 'year,', 'yourself!')  ========>  25
('http://t.co/8tttpri3ag', 'la', 'mateo')  ========>  18
('http://t.co/8tttpri3ag', 'mateo', 'merese')  ========>  18
('@real_liam_payne', 'notice', 'stealing')  ========>  19
('https://t.co/1bds2lfusd', 'support', 'year,')  ========>  25
('happy', 'year,', 'yourself!')  ========>  25
('barometer', 'hpa,', 'today')  ========>  7
('away?', 'miles', 'u.')  ========>  13
('feeling:', 'hunter".', 'matt')  ========>  14
('flat', 'myntra.', 'of10.5%on')  ========>  14
('follow', 'knowing?', 'miles')  ========>  13
('en', 'girls', 'la')  ========>  18
('happy', 'song!', 'year,')  ========>  25
('2015', 'nelsoncarvalheiro', 'vote')  ========>  28
('@justinbieber', 'follow', 'u.')  ========>  13
('rain', 'temperature', 'wind')  ========>  17
('amazon,8%', 'flipkart,12%on', 'upto15%on')  ========>  14
('follow', 'person', '♥♥♥♥how')  ========>  13
wow  ========>  14
('dreams,', 'happy', 'song!')  ========>  25
('follow', 'idol', 'queen')  ========>  9
('!!', 'hunter".', 'letters')  ========>  14
('@justinbieber', 'knowing?', 'person')  ========>  13
act  ========>  7
(':)', '@madisonellebeer', 'love')  ========>  9
('!!', 'letters', 'love')  ========>  14
('humbly', 'notice', 'ta')  ========>  19
('@madisonellebeer', 'idol', 'queen')  ========>  9
('@justinbieber', 'u.', '♥♥♥♥how')  ========>  13
('#3', '#getgarytonoonooswedding', 'harassed')  ========>  8
('days', 'harassed', 'tweeted')  ========>  8
('@garybarlow', 'harassed', 'relentlessly')  ========>  8
('#3', 'harassed', 'make')  ========>  8
(at  ========>  14
('love', 'me?', 'u.')  ========>  13
('mm.', 'wind', '°c.')  ========>  8
('fitur', 'nelsoncarvalheiro', 'travelblogger')  ========>  28
('#viña2015', 'la', 'merese')  ========>  18
('love', 'me♥', 'queen')  ========>  9
('#viña2015', '(la', 'la')  ========>  18
('en', 'merese', '👉abraham')  ========>  18
('**pic', 'review', 'vendor')  ========>  12
(':)', '@madisonellebeer', 'idol')  ========>  9
('away?', 'knowing?', 'person')  ========>  13
('hpa,', 'humidity', 'temperature')  ========>  7
me♥  ========>  8
('know,', 'knowing?', 'me?')  ========>  13
('#viña2015', '(la', 'girls')  ========>  18
('away?', 'u.', '♥♥♥♥how')  ========>  13
('barometer', 'humidity', 'rain')  ========>  16
